speaker,text,dialogtype,quest_displayname,quest_name,questfile,speaker_unit,unitfile,raw_text
,- Retrieve the three Royal Masks from the Salt Barrens,huddetails,A Shattered Visage Lies,a2-ezrohir_masks,QUESTS/A2-SIDEQUESTS/A2-EZROHIR_MASKS.DAT,,,- Retrieve the three |cFFD1FF7ARoyal Masks|u from the |cFFD1FF7ASalt Barrens|u
,- Return the Royal Masks| to the |cFFFFBA00Faceless King,huddetails_complete,A Shattered Visage Lies,a2-ezrohir_masks,QUESTS/A2-SIDEQUESTS/A2-EZROHIR_MASKS.DAT,,,- Return the |cFFFFBA00Royal Masks| to the |cFFFFBA00Faceless King|u
,"Locate the Ezrohir Marauder in the Ossean Wastes.  Defeat him, and collect his Body Wrappings.",details,*Body Work,a2-zeraphi_ghost,QUESTS/A2-SIDEQUESTS/A2-ZERAPHI_GHOST.DAT,,,"Locate the |cFFD1FF7AEzrohir Marauder|u in the |cFFD1FF7AOssean Wastes|u.  Defeat him, and collect his |cFFD1FF7ABody Wrappings|u."
,Bring the Ezrohir Marauder's Body Wrappings back to Umahd in the Ossean Wastes.,details_complete,*Body Work,a2-zeraphi_ghost,QUESTS/A2-SIDEQUESTS/A2-ZERAPHI_GHOST.DAT,,,Bring the Ezrohir Marauder's |cFFD1FF7ABody Wrappings|u back to |cFFD1FF7AUmahd|u in the |cFFD1FF7AOssean Wastes|u.
Umahd,"You have done it!  Oh, thank you, my friend!  You cannot imagine how it feels to ... to feel again!
I can never thank you enough, my friend.  Perhaps this is a start, however ...?",complete,*Body Work,a2-zeraphi_ghost,QUESTS/A2-SIDEQUESTS/A2-ZERAPHI_GHOST.DAT,A2-ZERAPHI_GHOST,MEDIA/UNITS/MONSTERS/QUESTUNITS/ACT 2/A2-ZERAPHI_GHOST.DAT,"You have done it!  Oh, thank you, my friend!  You cannot imagine how it feels to ... to feel again!\n\nI can never thank you enough, my friend.  Perhaps this is a start, however ...?"
Umahd,"The Ezrohir Marauder must be somewhere in this area:  The body he has stolen was mine for centuries, and I can not so easily forget it.  It is here!  I can feel it!  I beg you:  Find it for me!",return,*Body Work,a2-zeraphi_ghost,QUESTS/A2-SIDEQUESTS/A2-ZERAPHI_GHOST.DAT,A2-ZERAPHI_GHOST,MEDIA/UNITS/MONSTERS/QUESTUNITS/ACT 2/A2-ZERAPHI_GHOST.DAT,"The Ezrohir Marauder must be somewhere in this area:  The body he has stolen was mine for centuries, and I can not so easily forget it.  It is here!  I can feel it!  I beg you:  Find it for me!"
,"I am no ghost, only disembodied spirit:  a Zeraphi warrior, torn from his wrappings, but unable to tear himself away from this world.  Umahd is my name.  I was defeated in battle, and my physical form taken from me, and made to serve the Ezrohir.  But the Ezrohir Marauder who wears my wrappings has returned, no doubt thinking me long gone.
Find that Ezrohir Marauder!  Restore my physical form, and I shall reward you!",intro,*Body Work,a2-zeraphi_ghost,QUESTS/A2-SIDEQUESTS/A2-ZERAPHI_GHOST.DAT,,,"I am no ghost, only disembodied spirit:  a Zeraphi warrior, torn from his wrappings, but unable to tear himself away from this world.  Umahd is my name.  I was defeated in battle, and my physical form taken from me, and made to serve the Ezrohir.  But the |cFFD1FF7AEzrohir Marauder|u who wears my wrappings has returned, no doubt thinking me long gone.\n\nFind that |cFFD1FF7AEzrohir Marauder|u!  Restore my physical form, and I shall reward you!"
,- Defeat Ezrohir Marauder in Ossean Wastes,huddetails,*Body Work,a2-zeraphi_ghost,QUESTS/A2-SIDEQUESTS/A2-ZERAPHI_GHOST.DAT,,,- Defeat |cFFD1FF7AEzrohir Marauder|u in |cFFD1FF7AOssean Wastes|u
,- Return Body Wrappings back to Umahd in the Ossean Wastes,huddetails_complete,*Body Work,a2-zeraphi_ghost,QUESTS/A2-SIDEQUESTS/A2-ZERAPHI_GHOST.DAT,,,- Return |cFFD1FF7ABody Wrappings|u back to |cFFD1FF7AUmahd|u in the |cFFD1FF7AOssean Wastes|u
Muzaffar,"My friend, I have a mission for you.  You may have noticed the Ezrohir activity in the Ossean Wastes.  We believe these are scouts operating out of the Forsaken Vaults, but they are appearing so close to the city gates that we think they might have a base much nearer, from which they are spying on us.
We have narrowed down the possibilities, and I want you to look into the Tower of the Moon, in the Ossean Wastes.  Determine if there are any Ezrohir scouts there ... and if you find any, deal with them.",intro,Tower of the Moon,a2_TowerOfTheMoon,QUESTS/A2-SIDEQUESTS/A2_TOWEROFTHEMOON.DAT,A2-MUZAFFAR,MEDIA/UNITS/MONSTERS/QUESTUNITS/ZONE2/A2-MUZAFFAR.DAT,"My friend, I have a mission for you.  You may have noticed the Ezrohir activity in the Ossean Wastes.  We believe these are scouts operating out of the |cFFD1FF7AForsaken Vaults|u, but they are appearing so close to the city gates that we think they might have a base much nearer, from which they are spying on us.\n\nWe have narrowed down the possibilities, and I want you to look into the |cFFD1FF7ATower of the Moon|u, in the |cFFD1FF7AOssean Wastes|u.  Determine if there are any Ezrohir scouts there ... and if you find any, deal with them."
Muzaffar,Have you been able to ascertain if the Ezrohir are using the Tower of the Moon to spy upon us?,return,Tower of the Moon,a2_TowerOfTheMoon,QUESTS/A2-SIDEQUESTS/A2_TOWEROFTHEMOON.DAT,A2-MUZAFFAR,MEDIA/UNITS/MONSTERS/QUESTUNITS/ZONE2/A2-MUZAFFAR.DAT,Have you been able to ascertain if the Ezrohir are using the Tower of the Moon to spy upon us?
Muzaffar,"I do not know how they came to install their sorcerer, Juthama Kasam, so close by the city walls without us noticing!  But I thank the Guardians that you were able to defeat him, and put a stop to whatever they were planning!",complete,Tower of the Moon,a2_TowerOfTheMoon,QUESTS/A2-SIDEQUESTS/A2_TOWEROFTHEMOON.DAT,A2-MUZAFFAR,MEDIA/UNITS/MONSTERS/QUESTUNITS/ZONE2/A2-MUZAFFAR.DAT,"I do not know how they came to install their sorcerer, Juthama Kasam, so close by the city walls without us noticing!  But I thank the Guardians that you were able to defeat him, and put a stop to whatever they were planning!"
,Scout the Tower of the Moon in the Ossean Wastes.  Eliminate any Ezrohir spies you find there and report back to Commander Muzaffar in the Ossean Wastes.,details,Tower of the Moon,a2_TowerOfTheMoon,QUESTS/A2-SIDEQUESTS/A2_TOWEROFTHEMOON.DAT,,,Scout the |cFFD1FF7ATower of the Moon|u in the |cFFD1FF7AOssean Wastes|u.  Eliminate any Ezrohir spies you find there and report back to |cFFD1FF7ACommander Muzaffar|u in the |cFFD1FF7AOssean Wastes|u.
,- Enter the Tower of the Moon in the Ossean Wastes; eliminate any Ezrohir inside,huddetails,Tower of the Moon,a2_TowerOfTheMoon,QUESTS/A2-SIDEQUESTS/A2_TOWEROFTHEMOON.DAT,,,- Enter the |cFFD1FF7ATower of the Moon|u in the |cFFD1FF7AOssean Wastes|u; eliminate any Ezrohir inside
,- Return to Commander Muzaffar in the Ossean Wastes,huddetails_complete,Tower of the Moon,a2_TowerOfTheMoon,QUESTS/A2-SIDEQUESTS/A2_TOWEROFTHEMOON.DAT,,,- Return to |cFFD1FF7ACommander Muzaffar|u in the |cFFD1FF7AOssean Wastes|u
,Get a [ACQUIRE1] in the Temple Steppes.,intro,*Green Rewards,bountyboard-find-TempleSteppes,QUESTS/BOUNTYBOARD/BOUNTYBOARD-FIND-TEMPLESTEPPES.DAT,,,Get a |cFFD1FF7A[ACQUIRE1]|u in the |cFFD1FF7ATemple Steppes|u.
,Get a [ACQUIRE1] in the Temple Steppes.,return,*Green Rewards,bountyboard-find-TempleSteppes,QUESTS/BOUNTYBOARD/BOUNTYBOARD-FIND-TEMPLESTEPPES.DAT,,,Get a |cFFD1FF7A[ACQUIRE1]|u in the |cFFD1FF7ATemple Steppes|u.
,Get a [ACQUIRE1] in the Temple Steppes.,complete,*Green Rewards,bountyboard-find-TempleSteppes,QUESTS/BOUNTYBOARD/BOUNTYBOARD-FIND-TEMPLESTEPPES.DAT,,,Get a |cFFD1FF7A[ACQUIRE1]|u in the |cFFD1FF7ATemple Steppes|u.
,Get a [ACQUIRE1] in the Temple Steppes.,details,*Green Rewards,bountyboard-find-TempleSteppes,QUESTS/BOUNTYBOARD/BOUNTYBOARD-FIND-TEMPLESTEPPES.DAT,,,Get a |cFFD1FF7A[ACQUIRE1]|u in the |cFFD1FF7ATemple Steppes|u.
,- Get a [ACQUIRE1] in the Temple Steppes.,huddetails,*Green Rewards,bountyboard-find-TempleSteppes,QUESTS/BOUNTYBOARD/BOUNTYBOARD-FIND-TEMPLESTEPPES.DAT,,,- Get a |cFFD1FF7A[ACQUIRE1]|u in the |cFFD1FF7ATemple Steppes|u.
,Get a [ACQUIRE1] on floor [ACQUIRE1DEPTH] of the Defiled Crypt.  The crypt can be entered via the Path of the Honored Dead.,intro,*Treasures of the Lost,BountyBoard-Find-DefiledCrypt,QUESTS/BOUNTYBOARD/BOUNTYBOARD-FIND-DEFILEDCRYPT.DAT,,,Get a |cFFD1FF7A[ACQUIRE1]|u on floor |cFFD1FF7A[ACQUIRE1DEPTH]|u of the Defiled Crypt.  The crypt can be entered via the |cFFD1FF7APath of the Honored Dead|u.
,Get a [ACQUIRE1] on floor [ACQUIRE1DEPTH] of the Defiled Crypt.  The crypt can be entered via the Path of the Honored Dead.,return,*Treasures of the Lost,BountyBoard-Find-DefiledCrypt,QUESTS/BOUNTYBOARD/BOUNTYBOARD-FIND-DEFILEDCRYPT.DAT,,,Get a |cFFD1FF7A[ACQUIRE1]|u on floor |cFFD1FF7A[ACQUIRE1DEPTH]|u of the Defiled Crypt.  The crypt can be entered via the |cFFD1FF7APath of the Honored Dead|u.
,Get a [ACQUIRE1] on floor [ACQUIRE1DEPTH] of the Defiled Crypt.  The crypt can be entered via the Path of the Honored Dead.,complete,*Treasures of the Lost,BountyBoard-Find-DefiledCrypt,QUESTS/BOUNTYBOARD/BOUNTYBOARD-FIND-DEFILEDCRYPT.DAT,,,Get a |cFFD1FF7A[ACQUIRE1]|u on floor |cFFD1FF7A[ACQUIRE1DEPTH]|u of the Defiled Crypt.  The crypt can be entered via the |cFFD1FF7APath of the Honored Dead|u.
,"Get a [ACQUIRE1] on floor [ACQUIRE1DEPTH] of the Corrupted Crypt, in the Path of the Honored Dead.",details,*Treasures of the Lost,BountyBoard-Find-DefiledCrypt,QUESTS/BOUNTYBOARD/BOUNTYBOARD-FIND-DEFILEDCRYPT.DAT,,,"Get a |cFFD1FF7A[ACQUIRE1]|u on floor |cFFD1FF7A[ACQUIRE1DEPTH]|u of the |cFFD1FF7ACorrupted Crypt|u, in the |cFFD1FF7APath of the Honored Dead|u."
,- Retrieve [ACQUIRE1] from the |cFFD1FF7ACorrupted CryptU,huddetails,*Treasures of the Lost,BountyBoard-Find-DefiledCrypt,QUESTS/BOUNTYBOARD/BOUNTYBOARD-FIND-DEFILEDCRYPT.DAT,,,- Retrieve |cFFD1FF7A[ACQUIRE1]|u from the |cFFD1FF7ACorrupted CryptU
,Kill [DEFEAT1] in the Defiled Crypt.  The crypt can be entered via the Path of the Honored Dead.,intro,*Treasures of the Lost,bountyboard-kill-defiledcrypt,QUESTS/BOUNTYBOARD/BOUNTYBOARD-KILL-DEFILEDCRYPT.DAT,,,Kill |cFFD1FF7A[DEFEAT1]|u in the Defiled Crypt.  The crypt can be entered via the |cFFD1FF7APath of the Honored Dead|u.
,Kill [DEFEAT1] in the Defiled Crypt.  The crypt can be entered via the Path of the Honored Dead.,return,*Treasures of the Lost,bountyboard-kill-defiledcrypt,QUESTS/BOUNTYBOARD/BOUNTYBOARD-KILL-DEFILEDCRYPT.DAT,,,Kill |cFFD1FF7A[DEFEAT1]|u in the Defiled Crypt.  The crypt can be entered via the |cFFD1FF7APath of the Honored Dead|u.
,Kill [DEFEAT1] in the Defiled Crypt.  The crypt can be entered via the Path of the Honored Dead.,complete,*Treasures of the Lost,bountyboard-kill-defiledcrypt,QUESTS/BOUNTYBOARD/BOUNTYBOARD-KILL-DEFILEDCRYPT.DAT,,,Kill |cFFD1FF7A[DEFEAT1]|u in the Defiled Crypt.  The crypt can be entered via the |cFFD1FF7APath of the Honored Dead|u.
,Kill [DEFEAT1] in the Corrupted Crypt.  The crypt can be entered via the Path of the Honored Dead.,details,*Treasures of the Lost,bountyboard-kill-defiledcrypt,QUESTS/BOUNTYBOARD/BOUNTYBOARD-KILL-DEFILEDCRYPT.DAT,,,Kill |cFFD1FF7A[DEFEAT1]|u in the |cFFD1FF7ACorrupted Crypt|u.  The crypt can be entered via the |cFFD1FF7APath of the Honored Dead|u.
,- Kill [DEFEAT1] in the Defiled Crypt.,huddetails,*Treasures of the Lost,bountyboard-kill-defiledcrypt,QUESTS/BOUNTYBOARD/BOUNTYBOARD-KILL-DEFILEDCRYPT.DAT,,,- Kill |cFFD1FF7A[DEFEAT1]|u in the |cFFD1FF7ADefiled Crypt|u.
,"Search the Ossean Wastes for the entrance to the Forsaken Vaults, where the Guardian of Mana was taken, and defeat the forces that captured her.",details,Artifice of Evil,a2-Fight_Artificer,QUESTS/TL2MAINQUEST/ACT2/A2-FIGHT_ARTIFICER.DAT,,,"Search the |cFFFFBA00Ossean Wastes|u for the entrance to the |cFFFFBA00Forsaken Vaults|u, where the |cFFFFBA00Guardian of Mana|u was taken, and defeat the forces that captured her."
,"Defeat the Artificer, and inform the Guardian of Air in Zeryphesh.",details_complete,Artifice of Evil,a2-Fight_Artificer,QUESTS/TL2MAINQUEST/ACT2/A2-FIGHT_ARTIFICER.DAT,,,"Defeat the |cFFFFBA00Artificer|u, and inform the |cFFFFBA00Guardian of Air|u in |cFFFFBA00Zeryphesh|u."
,"- Locate the Forsaken Vaults in the Ossean Wastes
- Defeat the forces holding the Guardian of Mana",huddetails,Artifice of Evil,a2-Fight_Artificer,QUESTS/TL2MAINQUEST/ACT2/A2-FIGHT_ARTIFICER.DAT,,,- Locate the |cFFFFBA00Forsaken Vaults|u in the |cFFFFBA00Ossean Wastes|u\n- Defeat the forces holding the |cFFFFBA00Guardian of Mana|u
,- Return to Guardian of Air in Zeryphesh,huddetails_complete,Artifice of Evil,a2-Fight_Artificer,QUESTS/TL2MAINQUEST/ACT2/A2-FIGHT_ARTIFICER.DAT,,,- Return to |cFFFFBA00Guardian of Air|u in |cFFFFBA00Zeryphesh|u
Guardian Of Air,"We must act quickly. It appears that the Artificer you defeated in the Vaults has enslaved the Guardian of Mana for the enemy. The most pressing danger is that they will use the enslaved Guardian to corrupt ... and control ... all the world's magic. Our only recourse in that event may be to destroy the Guardian.
There might still be hope. If we can find a way to free the Guardian from Ezrohir control, we can save Zeryphesh, and thwart the Alchemist's plans.",complete,Artifice of Evil,a2-Fight_Artificer,QUESTS/TL2MAINQUEST/ACT2/A2-FIGHT_ARTIFICER.DAT,GUARDIANOFAIR,MEDIA/UNITS/MONSTERS/NPC/GUARDIANOFAIR.DAT,"We must act quickly. It appears that the Artificer you defeated in the Vaults has enslaved the Guardian of Mana for the enemy. The most pressing danger is that they will use the enslaved Guardian to corrupt ... and control ... all the world's magic. Our only recourse in that event may be to destroy the Guardian.\n\nThere might still be hope. If we can find a way to free the |cFFFFBA00Guardian|u from Ezrohir control, we can save Zeryphesh, and thwart the Alchemist's plans."
Sphinx,"The Ezrohir prepare today for war
Their legions number in the score.
Their Alchemy and Artifice suffice
To capture Mana ... not once but twice.
Imprisoned in the Vaults Forsaken:
Subdued, enslaved, her magic taken.
Forced to lead their troops in battle
From Guardian ... to so much chattel.",return,Artifice of Evil,a2-Fight_Artificer,QUESTS/TL2MAINQUEST/ACT2/A2-FIGHT_ARTIFICER.DAT,A2-SPHINX,MEDIA/UNITS/MONSTERS/QUESTUNITS/A2-SPHINX.DAT,"The Ezrohir prepare today for war\nTheir legions number in the score.\nTheir Alchemy and Artifice suffice\nTo capture Mana ... not once but twice.\nImprisoned in the Vaults Forsaken:\nSubdued, enslaved, her magic taken.\nForced to lead their troops in battle\nFrom Guardian ... to so much chattel.\n"
Sphinx,"The Ezrohir have Mana enslaved
But there's still hope; she might yet be saved.
The enemy lie in this foul creche.
Save the Guardian ... save Zeryphesh.",intro,Artifice of Evil,a2-Fight_Artificer,QUESTS/TL2MAINQUEST/ACT2/A2-FIGHT_ARTIFICER.DAT,A2-SPHINX,MEDIA/UNITS/MONSTERS/QUESTUNITS/A2-SPHINX.DAT,The Ezrohir have Mana enslaved\nBut there's still hope; she might yet be saved.\nThe enemy lie in this foul creche.\nSave the |cFFFFBA00Guardian|u ... save Zeryphesh.
,"Once again, the Sphinx has provided you with a kind of riddle about the fate of the Guardian of Mana:  Apparently, the Ezrohir captured the Guardian and brought her into the Forsaken Vaults, where they have devised some way of forcing her to work for them!
You have to free her, or Zeryphesh will surely be lost ... and all the world's magic might come under the control of the bellicose Ezrohir!",moredetails,Artifice of Evil,a2-Fight_Artificer,QUESTS/TL2MAINQUEST/ACT2/A2-FIGHT_ARTIFICER.DAT,,,"Once again, the Sphinx has provided you with a kind of riddle about the fate of the Guardian of Mana:  Apparently, the Ezrohir captured the Guardian and brought her into the Forsaken Vaults, where they have devised some way of forcing her to work for them!\n\nYou have to free her, or Zeryphesh will surely be lost ... and all the world's magic might come under the control of the bellicose Ezrohir!"
,Speak to the Railmaster in the Enclave to leave the Estherian Steppes and travel to the desert city of Zeryphesh.,details,Onward to Zeryphesh!,a2-Vanquisher_Send_To_ACT2,QUESTS/TL2MAINQUEST/ACT2/A2-VANQUISHER_SEND_TO_ACT2.DAT,,,Speak to the |cFFFFBA00Railmaster|u in the |cFFFFBA00Enclave|u to leave the Estherian Steppes and travel to the desert city of |cFFFFBA00Zeryphesh|u.
,"When you reach Zeryphesh, speak with the Guardian of Air.",details_complete,Onward to Zeryphesh!,a2-Vanquisher_Send_To_ACT2,QUESTS/TL2MAINQUEST/ACT2/A2-VANQUISHER_SEND_TO_ACT2.DAT,,,"When you reach |cFFFFBA00Zeryphesh|u, speak with the |cFFFFBA00Guardian of Air|u."
,- Speak to Railmaster in Enclave to travel to Zeryphesh,huddetails,Onward to Zeryphesh!,a2-Vanquisher_Send_To_ACT2,QUESTS/TL2MAINQUEST/ACT2/A2-VANQUISHER_SEND_TO_ACT2.DAT,,,- Speak to |cFFFFBA00Railmaster|u in |cFFFFBA00Enclave|u to travel to |cFFFFBA00Zeryphesh|u
Commander Vale,"I'm commandeering a transport to take you to Zeryphesh, in the Ossean Wastes.
Just speak to the Railmaster, when you're ready to go.",intro,Onward to Zeryphesh!,a2-Vanquisher_Send_To_ACT2,QUESTS/TL2MAINQUEST/ACT2/A2-VANQUISHER_SEND_TO_ACT2.DAT,VANQUISHERNPC,MEDIA/UNITS/MONSTERS/NPC/VANQUISHERNPC.DAT,"I'm commandeering a transport to take you to |cFFFFBA00Zeryphesh|u, in the Ossean Wastes.\n\nJust speak to the |cFFFFBA00Railmaster|u, when you're ready to go."
Commander Vale,"Things are pretty rough down in Zeryphesh, too.  That's why the Guardians are there.  The Ezrohir, after something like five hundred years of peace, are making war on the Zeraphi again.  A couple of the Guardians went down there to maintain order as best they can.
If the Alchemist only needs the energy of two more Guardians, he couldn't have gotten more lucky.  They'll both be right there, in easy reach.  Let's just hope that they're more prepared than the others were.",return,Onward to Zeryphesh!,a2-Vanquisher_Send_To_ACT2,QUESTS/TL2MAINQUEST/ACT2/A2-VANQUISHER_SEND_TO_ACT2.DAT,VANQUISHERNPC,MEDIA/UNITS/MONSTERS/NPC/VANQUISHERNPC.DAT,"Things are pretty rough down in Zeryphesh, too.  That's why the Guardians are there.  The Ezrohir, after something like five hundred years of peace, are making war on the Zeraphi again.  A couple of the Guardians went down there to maintain order as best they can.\n\nIf the Alchemist only needs the energy of two more Guardians, he couldn't have gotten more lucky.  They'll both be right there, in easy reach.  Let's just hope that they're more prepared than the others were."
,"The Alchemist must be stopped.  His mad plan to free the Netherim from their ancient prison has now caused the deaths of Syl, Grand Regent Eldrayn, the entire village of Torchlight, and countless Estherians and Vanquishers ... not to mention nearly killing two of the elemental Guardians.
The power the Alchemist has stolen from the Guardians is vast, but not limitless ... not yet.  But there are two more Guardians not far away, in the Ossean Wastes, and the Guardian of the Wild has asked you to journey there, to help protect them from the Alchemist.",moredetails,Onward to Zeryphesh!,a2-Vanquisher_Send_To_ACT2,QUESTS/TL2MAINQUEST/ACT2/A2-VANQUISHER_SEND_TO_ACT2.DAT,,,"The Alchemist must be stopped.  His mad plan to free the Netherim from their ancient prison has now caused the deaths of Syl, Grand Regent Eldrayn, the entire village of Torchlight, and countless Estherians and Vanquishers ... not to mention nearly killing two of the elemental Guardians.\n\nThe power the Alchemist has stolen from the Guardians is vast, but not limitless ... not yet.  But there are two more Guardians not far away, in the Ossean Wastes, and the Guardian of the Wild has asked you to journey there, to help protect them from the Alchemist."
Horse,"You're the one the Vanquisher-lady told me about, then?  Alright ... whenever you're ready to get rollin', we'll get your gear aboard our Embercraft, and we'll set out.  Shouldn't take us more than a couple of days to get there!",intro,Onward to Zeryphesh!,a2-vanquishersendtozerypheshpt2,QUESTS/TL2MAINQUEST/ACT2/A2-VANQUISHERSENDTOZERYPHESHPT2.DAT,A1-RAILMANHORSE1,MEDIA/UNITS/MONSTERS/NPC/A1-RAILMANHORSE1.DAT,"You're the one the Vanquisher-lady told me about, then?  Alright ... whenever you're ready to get rollin', we'll get your gear aboard our Embercraft, and we'll set out.  Shouldn't take us more than a couple of days to get there!"
,- Speak to Guardian of Air in Zeryphesh,huddetails,Onward to Zeryphesh!,a2-vanquishersendtozerypheshpt2,QUESTS/TL2MAINQUEST/ACT2/A2-VANQUISHERSENDTOZERYPHESHPT2.DAT,,,- Speak to |cFFFFBA00Guardian of Air|u in |cFFFFBA00Zeryphesh|u
,Survive against the hordes of enemies until you find a way to return to Fazeer Shah.,details,The Djinni's Next Task,a2-djinni_2st_task,QUESTS/TL2MAINQUEST/ACT2/A2-DJINNI_2ST_TASK.DAT,,,Survive against the hordes of enemies until you find a way to return to |cFFFFBA00Fazeer Shah|u.
,You have prevailed against the hordes of enemies. Return to Fazeer Shah in the Salt Barrens.,details_complete,The Djinni's Next Task,a2-djinni_2st_task,QUESTS/TL2MAINQUEST/ACT2/A2-DJINNI_2ST_TASK.DAT,,,You have prevailed against the hordes of enemies. Return to |cFFFFBA00Fazeer Shah|u in the |cFFFFBA00Salt Barrens|u.
,- Survive the Luminous Arena,huddetails,The Djinni's Next Task,a2-djinni_2st_task,QUESTS/TL2MAINQUEST/ACT2/A2-DJINNI_2ST_TASK.DAT,,,- Survive the |cFFFFBA00Luminous Arena|u
,- Return to Fazeer Shah in the Salt Barrens,huddetails_complete,The Djinni's Next Task,a2-djinni_2st_task,QUESTS/TL2MAINQUEST/ACT2/A2-DJINNI_2ST_TASK.DAT,,,- Return to |cFFFFBA00Fazeer Shah|u in the |cFFFFBA00Salt Barrens|u
Fazeer Shah,"So ... you finally found your way out.  You are the most entertaining diversion I've found in a thousand years!
Well, I suppose you'll be needing one final task ...",complete,The Djinni's Next Task,a2-djinni_2st_task,QUESTS/TL2MAINQUEST/ACT2/A2-DJINNI_2ST_TASK.DAT,A2-DJINNI,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-DJINNI.DAT,"So ... you finally found your way out.  You are the most entertaining diversion I've found in a thousand years!\n\nWell, I suppose you'll be needing one final task ..."
Fazeer Shah,"Go on, then. Glory awaits!",return,The Djinni's Next Task,a2-djinni_2st_task,QUESTS/TL2MAINQUEST/ACT2/A2-DJINNI_2ST_TASK.DAT,A2-DJINNI,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-DJINNI.DAT,"Go on, then. Glory awaits!"
Fazeer Shah,"You survived the Tu'tara more or less in one piece.  Congratulations.  But it occurs to me that you didn't do anything that you wouldn't ordinarily have done.  This second task should prove much more amusing.
Step through the Portal.  Your second task ... is to survive!",intro,The Djinni's Next Task,a2-djinni_2st_task,QUESTS/TL2MAINQUEST/ACT2/A2-DJINNI_2ST_TASK.DAT,A2-DJINNI,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-DJINNI.DAT,You survived the Tu'tara more or less in one piece.  Congratulations.  But it occurs to me that you didn't do anything that you wouldn't ordinarily have done.  This second task should prove much more amusing.\n\nStep through the |cFFFFBA00Portal|u.  Your second task ... is to survive!
,"Fazeer Shah has promised to help you release the magical bonds placed on the Guardian of Mana by the Artificer, if you'll just perform three tasks for the djinni's amusement.  The first task was easy enough, but the second seems much riskier.
But, if jumping through the djinni's hoops will free the Guardian of Mana from Ezrohir control, then that's what you'll have to do.",moredetails,The Djinni's Next Task,a2-djinni_2st_task,QUESTS/TL2MAINQUEST/ACT2/A2-DJINNI_2ST_TASK.DAT,,,"Fazeer Shah has promised to help you release the magical bonds placed on the Guardian of Mana by the Artificer, if you'll just perform three tasks for the djinni's amusement.  The first task was easy enough, but the second seems much riskier.\n\nBut, if jumping through the djinni's hoops will free the Guardian of Mana from Ezrohir control, then that's what you'll have to do."
,"Travel through the Witherways, in the Salt Barrens, to the Ezrohir stronghold of Riftkeep, and free the Guardian of Mana from Ezrohir control.",details,Breaking the Siege,a2-Defeat_Mana_Guardian,QUESTS/TL2MAINQUEST/ACT2/A2-DEFEAT_MANA_GUARDIAN.DAT,,,"Travel through the |cFFFFBA00Witherways|u, in the |cFFFFBA00Salt Barrens|u, to the Ezrohir stronghold of |cFFFFBA00Riftkeep|u, and free the |cFFFFBA00Guardian of Mana|u from Ezrohir control."
,Speak to the newly freed Guardian of Mana.,details_complete,Breaking the Siege,a2-Defeat_Mana_Guardian,QUESTS/TL2MAINQUEST/ACT2/A2-DEFEAT_MANA_GUARDIAN.DAT,,,Speak to the newly freed |cFFFFBA00Guardian of Mana|u.
,"- Travel through the Witherways, in the Salt Barrens, to Riftkeep, and defeat the Siege Guardian",huddetails,Breaking the Siege,a2-Defeat_Mana_Guardian,QUESTS/TL2MAINQUEST/ACT2/A2-DEFEAT_MANA_GUARDIAN.DAT,,,"- Travel through the |cFFFFBA00Witherways|u, in the |cFFFFBA00Salt Barrens|u, to |cFFFFBA00Riftkeep|u, and defeat the |cFFFFBA00Siege Guardian|u"
,- Speak to the Guardian of Mana in Riftkeep,huddetails_complete,Breaking the Siege,a2-Defeat_Mana_Guardian,QUESTS/TL2MAINQUEST/ACT2/A2-DEFEAT_MANA_GUARDIAN.DAT,,,- Speak to the |cFFFFBA00Guardian of Mana|u in |cFFFFBA00Riftkeep|u
Guardian of Mana,"Stop.  Enough.  You have freed me from my enslavement and I am myself once more!
We must leave this place.  I will open a portal for you, to Zeryphesh.",complete,Breaking the Siege,a2-Defeat_Mana_Guardian,QUESTS/TL2MAINQUEST/ACT2/A2-DEFEAT_MANA_GUARDIAN.DAT,BOSS_GUARDIAN_MANA,MEDIA/UNITS/MONSTERS/BOSSES/BOSS_GUARDIAN_MANA.DAT,"Stop.  Enough.  You have freed me from my enslavement and I am myself once more!\n\nWe must leave this place.  I will open a portal for you, to Zeryphesh.\n"
