and000im_gft_amulet             Tevinter Chantry Amulet
gen_im_acc_rng_act3_13          Awakened's Might
gen_im_acc_rng_act3_14          Ring of the Wounded Coast
gen_im_acc_rng_lore_01          Ring of the Ferryman
gen_im_acc_rng_lore_02          Bardin's Folly
gen_im_acc_rng_lore_03          Puzzle Ring of the Black Fox
gen_im_acc_rng_mrl1             Sylvanwood Ring
gen_im_arm_boo_hvy_act1_01      The March of Thunder
gen_im_arm_boo_hvy_act1_02      Qunari War Boots
gen_im_arm_boo_hvy_act1_03      Surfacer Stone Boots
gen_im_arm_boo_hvy_act2_01      Blackened Greaves
gen_im_arm_boo_hvy_act2_02      Avvarian War Boots
gen_im_arm_boo_hvy_act2_03      Golem's Leg
gen_im_arm_boo_hvy_act3_01      Boots of the White Spire
gen_im_arm_boo_hvy_act3_02      Dragonscale Boots
gen_im_arm_boo_hvy_champion     Boots of the Champion
gen_im_arm_boo_hvy_set_high     Stonehammer Boots
gen_im_arm_boo_hvy_set_med      Boots of the Fallen
gen_im_arm_boo_hvy_start        Fereldan Field Boots
gen_im_arm_boo_lgt_act1_01      Formari Work Boots
gen_im_arm_boo_lgt_act1_02      Boots of the Isolationist
gen_im_arm_boo_lgt_act1_03      Boots of the Elder
gen_im_arm_boo_lgt_act2_01      Enchanter's Spatterdashes
gen_im_arm_boo_lgt_act2_02      Ghillie Brogues
gen_im_arm_boo_lgt_act2_03      Boots of the Redd
gen_im_arm_boo_lgt_act3_01      Embroidered Dancing Shoes
gen_im_arm_boo_lgt_act3_02      Boots of the Void
gen_im_arm_boo_lgt_act3_03      Harlan's Jackboots
gen_im_arm_boo_lgt_champion     Boots of the Champion
gen_im_arm_boo_lgt_set_high     Boots of the Overseer
gen_im_arm_boo_lgt_set_med      Boots of the Spiral Eye
gen_im_arm_boo_lgt_start        Apostate's Boots
gen_im_arm_boo_med_act1_01      Lowtown Stompers
gen_im_arm_boo_med_act1_02      Footpad's Secret
gen_im_arm_boo_med_act1_03      Hunter's Boots
gen_im_arm_boo_med_act2_01      Zoey's Battered Horde-Kickers
gen_im_arm_boo_med_act2_02      Highwayman's Lambskin Boots
gen_im_arm_boo_med_act2_03      Worn Leather Boots
gen_im_arm_boo_med_act3_01      Boots of Free Marching
gen_im_arm_boo_med_act3_02      Windstrider Boots
gen_im_arm_boo_med_champion     Boots of the Champion
gen_im_arm_boo_med_lore_01      Blackfeather Boots
gen_im_arm_boo_med_set_high     Boots of Enasalin
gen_im_arm_boo_med_set_med      Last Descent Boots
gen_im_arm_boo_med_start        Rough Leather Boots
gen_im_arm_cht_hvy_act0_01      Mercenary's Reinforced Plate
gen_im_arm_cht_hvy_act0_02      Smuggler's Plate and Mail
gen_im_arm_cht_hvy_act1_01      Dragon Hunter's Hauberk
gen_im_arm_cht_hvy_act1_02      Marcher Battle Plate
gen_im_arm_cht_hvy_act1_03      Armor of the Wall
gen_im_arm_cht_hvy_act1_04      Surfacer Stone Armor
gen_im_arm_cht_hvy_act2_01      Trevisian Breastplate
gen_im_arm_cht_hvy_act2_02      Dissension
gen_im_arm_cht_hvy_act2_03      Monolith's Heart
gen_im_arm_cht_hvy_act3_01      Red Breastplate
gen_im_arm_cht_hvy_act3_02      Knight-Templar Regalia
gen_im_arm_cht_hvy_act3_03      Proving Battle Tunic
gen_im_arm_cht_hvy_act3_04      Chains of the Vaarad
gen_im_arm_cht_hvy_champion     Warplate of the Champion
gen_im_arm_cht_hvy_lore_01      Cuirass of the Centurion
gen_im_arm_cht_hvy_set_high     Stonehammer Plate
gen_im_arm_cht_hvy_set_med      Warplate of the Fallen
gen_im_arm_cht_hvy_start        Fereldan Field Armor
gen_im_arm_cht_lgt_act0_01      Mercenary's Light Strapping
gen_im_arm_cht_lgt_act0_02      Smuggler's Robes and Strapping
gen_im_arm_cht_lgt_act1_01      Robe of Hidden Pockets
gen_im_arm_cht_lgt_act1_02      Flocked Wool Robe
gen_im_arm_cht_lgt_act1_03      Apostate's Robes
gen_im_arm_cht_lgt_act2_01      Heavy Velvet Robes
gen_im_arm_cht_lgt_act2_02      Robe of the Notorious Pirate
gen_im_arm_cht_lgt_act2_03      Shadow's Reach
gen_im_arm_cht_lgt_act2_04      Robes of the Void
gen_im_arm_cht_lgt_act3_01      Aequitarian Robes
gen_im_arm_cht_lgt_act3_02      Cumberland Circle Robes
gen_im_arm_cht_lgt_act3_03      Battlemage Armaments
gen_im_arm_cht_lgt_act3_04      Circle Robes
gen_im_arm_cht_lgt_champion     Robes of the Champion
gen_im_arm_cht_lgt_lore_01      Vestments of Sacrifice
gen_im_arm_cht_lgt_set_high     Robes of the Overseer
gen_im_arm_cht_lgt_set_med      Robes of the Spiral Eye
gen_im_arm_cht_lgt_start        Apostate's Robe
gen_im_arm_cht_med_act0_01      Mercenary's Layered Tunic
gen_im_arm_cht_med_act0_02      Smuggler's Scale and Banding
gen_im_arm_cht_med_act1_01      Stalker's Boar Hides
gen_im_arm_cht_med_act1_02      Kirkwall Squire's Jerkin
gen_im_arm_cht_med_act2_01      Quickstring's Tunic
gen_im_arm_cht_med_act2_02      Chestguard of the Scoundrel
gen_im_arm_cht_med_act2_03      Vain
gen_im_arm_cht_med_act3_01      Dragonhide Mantle of the Predator
gen_im_arm_cht_med_act3_02      Nightingale's Lamellar Armor
gen_im_arm_cht_med_act3_03      Longshadow Hauberk
gen_im_arm_cht_med_champion     Arms of the Champion
gen_im_arm_cht_med_lore_01      Cuirass of the Winds
gen_im_arm_cht_med_set_high     Guardian of Enasalin
gen_im_arm_cht_med_set_med      Last Descent Armor
gen_im_arm_cht_med_start        Rough Leather Armor
gen_im_arm_glv_hvy_act1_01      Wyvernscale Gauntlets
gen_im_arm_glv_hvy_act1_02      Hands of Stone
gen_im_arm_glv_hvy_act2_01      Handcrafted Dwarven Cuffs
gen_im_arm_glv_hvy_act2_02      Alunduris
gen_im_arm_glv_hvy_act2_03      Surfacer Stone Gauntlets
gen_im_arm_glv_hvy_act3_01      Gauntlets of the Dark Breath
gen_im_arm_glv_hvy_act3_02      Ashen Gauntlets
gen_im_arm_glv_hvy_champion     Gauntlets of the Champion
gen_im_arm_glv_hvy_set_high     Stonehammer Gauntlets
gen_im_arm_glv_hvy_set_med      Gauntlets of the Fallen
gen_im_arm_glv_hvy_start        Fereldan Field Gloves
gen_im_arm_glv_lgt_act1_01      Rune-Covered Gloves
gen_im_arm_glv_lgt_act1_02      Silverite-Threaded Gloves
gen_im_arm_glv_lgt_act2_01      Gloves of the Void
gen_im_arm_glv_lgt_act2_02      Gauntlets of the Magister
gen_im_arm_glv_lgt_act3_01      Lyrium Embroidered Gloves
gen_im_arm_glv_lgt_act3_02      Gauntlets
gen_im_arm_glv_lgt_act3_03      Gloves of June
gen_im_arm_glv_lgt_champion     Gloves of the Champion
gen_im_arm_glv_lgt_lore_01      Vir Atish'an
gen_im_arm_glv_lgt_set_high     Gloves of the Overseer
gen_im_arm_glv_lgt_set_med      Gloves of the Spiral Eye
gen_im_arm_glv_lgt_start        Apostate's Cuffs
gen_im_arm_glv_med_act1_01      Alchemist's Protective Handguards
gen_im_arm_glv_med_act1_02      Bloody Butcher's Gloves
gen_im_arm_glv_med_act1_03      Raider Gloves
gen_im_arm_glv_med_act2_01      Stoneclutcher's Gloves
gen_im_arm_glv_med_act2_02      Gauntlets of the Ashaad
gen_im_arm_glv_med_act2_03      Rat-Nibbled Gloves
gen_im_arm_glv_med_act3_01      Gloves of the Wilder
gen_im_arm_glv_med_act3_02      Hands of Glory
gen_im_arm_glv_med_act3_03      Quick Hands
gen_im_arm_glv_med_champion     Gloves of the Champion
gen_im_arm_glv_med_set_high     Gloves of Enasalin
gen_im_arm_glv_med_set_med      Last Descent Gauntlets
gen_im_arm_glv_med_start        Rough Leather Handwraps
gen_im_arm_hlm_hvy_act1_01      Imperial Bloodhelm
gen_im_arm_hlm_hvy_act1_02      Helm of Victory
gen_im_arm_hlm_hvy_act1_03      Roar
gen_im_arm_hlm_hvy_act2_01      Chevalier Silverite Helm
gen_im_arm_hlm_hvy_act2_02      Helm of the Emerald Knights
gen_im_arm_hlm_hvy_act3_01      Warden's Coif
gen_im_arm_hlm_hvy_act3_02      Dwarven Battle Helm
gen_im_arm_hlm_hvy_act3_03      King's Bounty
gen_im_arm_hlm_hvy_champion     Helm of the Champion
gen_im_arm_hlm_hvy_lore_01      Garahel’s Helm
gen_im_arm_hlm_hvy_set_high     Stonehammer Helm
gen_im_arm_hlm_hvy_set_med      Helmet of the Fallen
gen_im_arm_hlm_lgt_act1_01      Slaver Lord's Cowl
gen_im_arm_hlm_lgt_act1_02      Thinking Cap
gen_im_arm_hlm_lgt_act1_03      Illwan's Hood
gen_im_arm_hlm_lgt_act2_01      Gascard DuPuis's Favorite Hat
gen_im_arm_hlm_lgt_act2_02      Tevinter Enchanter's Cap
gen_im_arm_hlm_lgt_act3_01      Circlet of the Dreamer
gen_im_arm_hlm_lgt_act3_02      Hood of the Formari
gen_im_arm_hlm_lgt_act3_03      Regret
gen_im_arm_hlm_lgt_champion     Hood of the Champion
gen_im_arm_hlm_lgt_set_high     Cowl of the Overseer
gen_im_arm_hlm_lgt_set_med      Hood of the Spiral Eye
gen_im_arm_hlm_med_act1_01      Mask of the Imperium
gen_im_arm_hlm_med_act1_02      Henchman Cowl
gen_im_arm_hlm_med_act2_01      DuPuis Family Chapeaux
gen_im_arm_hlm_med_act2_02      Blackguard Shroud
gen_im_arm_hlm_med_act2_03      Mariner's Trust
gen_im_arm_hlm_med_act3_01      Cap of Kings
gen_im_arm_hlm_med_act3_02      Tenebral Cowl
gen_im_arm_hlm_med_champion     Helm of the Champion
gen_im_arm_hlm_med_set_high     Helm of Enasalin
gen_im_arm_hlm_med_set_med      Last Descent Helmet
gen_im_cft_rec_arn_01           Design: Rune of Protection
gen_im_cft_rec_arn_02           Design: Rune of Fortune
gen_im_cft_rec_arn_03           Design: Rune of Frost Warding
gen_im_cft_rec_arn_04           Design: Rune of Fire Warding
gen_im_cft_rec_arn_05           Design: Rune of Lightning Warding
gen_im_cft_rec_arn_06           Design: Rune of Nature Warding
gen_im_cft_rec_arn_07           Design: Rune of Spirit Warding
gen_im_cft_rec_arn_08           Design: Rune of Defense
gen_im_cft_rec_arn_09           Design: Rune of Valiance
gen_im_cft_rec_bmb_01           Formula: Combustion Grenade
gen_im_cft_rec_bmb_02           Formula: Tar Bomb
gen_im_cft_rec_bmb_03           Formula: Mythal's Favor
gen_im_cft_rec_bmb_04           Formula: Fell Grenade
gen_im_cft_rec_pot_01           Recipe: Elfroot Potion
gen_im_cft_rec_pot_02           Recipe: Elixir of Purity
gen_im_cft_rec_pot_03           Recipe: Spindleweed Brew
gen_im_cft_rec_pot_04           Recipe: Restoration Potion
gen_im_cft_rec_pot_05           Recipe: Life Ward Potion
gen_im_cft_rec_pot_06           Recipe: Rock Armor Potion
gen_im_cft_rec_pot_07           Recipe: Mighty Offense Potion
gen_im_cft_rec_pot_08           Recipe: Elixir of Heroism
gen_im_cft_rec_psn_01           Formula: Debilitating Poison
gen_im_cft_rec_psn_02           Formula: Crow Venom
gen_im_cft_rec_psn_03           Formula: Deathroot Toxin
gen_im_cft_rec_psn_04           Formula: Arcane Poison
gen_im_cft_rec_psn_05           Formula: Fell Poison
gen_im_cft_rec_wrn_01           Design: Rune of Impact
gen_im_cft_rec_wrn_02           Design: Rune of Frost
gen_im_cft_rec_wrn_03           Design: Rune of Fire
gen_im_cft_rec_wrn_04           Design: Rune of Lightning
gen_im_cft_rec_wrn_05           Design: Rune of Nature
gen_im_cft_rec_wrn_06           Design: Rune of Spirit
gen_im_cft_rec_wrn_07           Design: Rune of Striking
gen_im_cft_rec_wrn_08           Design: Rune of Devastation
gen_im_cft_reg_a                Elfroot
gen_im_cft_reg_a1               Bitter Elfroot
gen_im_cft_reg_a2               Gossamer Elfroot
gen_im_cft_reg_a3               Royal Elfroot
gen_im_cft_reg_b                Spindleweed
gen_im_cft_reg_b1               Common Spindleweed
gen_im_cft_reg_b2               Dwarf's Spindleweed
gen_im_cft_reg_c                Embrium
gen_im_cft_reg_c1               Salubrious Embrium
gen_im_cft_reg_c2               Dark Embrium
gen_im_cft_reg_d                Ambrosia
gen_im_cft_reg_d1               Ambrosia
gen_im_cft_reg_e                Deep Mushroom
gen_im_cft_reg_e1               Blightcap Mushroom
gen_im_cft_reg_e2               Ghoul's Mushroom
gen_im_cft_reg_e3               Brimstone Mushroom
gen_im_cft_reg_f                Deathroot
gen_im_cft_reg_f1               Arcanist Deathroot
gen_im_cft_reg_f2               Lunatic's Deathroot
gen_im_cft_reg_g                Glitterdust
gen_im_cft_reg_g1               Volatile Glitterdust
gen_im_cft_reg_g2               Tainted Glitterdust
gen_im_cft_reg_h                Felandaris
gen_im_cft_reg_h1               Felandaris
gen_im_cft_reg_i                Lyrium
gen_im_cft_reg_i1               Refined Lyrium
gen_im_cft_reg_i2               Raw Lyrium
gen_im_cft_reg_i3               Corrupted Lyrium
gen_im_cft_reg_j                Silverite
gen_im_cft_reg_j1               Silverite Ore
gen_im_cft_reg_j2               Pale Silverite
gen_im_cft_reg_k                Orichalcum
gen_im_cft_reg_k1               Deep Orichalcum
gen_im_cft_reg_k2               Crystalline Orichalcum
gen_im_cft_reg_l                Dragon's Blood
gen_im_cft_reg_l1               Dragon's Blood
gen_im_cns_arn_celestial        Celestial Rune
gen_im_cns_arn_torpor           Torpor's Barrier Rune
gen_im_cns_cft_arn_01           Rune of Protection
gen_im_cns_cft_arn_02           Rune of Fortune
gen_im_cns_cft_arn_03           Rune of Frost Warding
gen_im_cns_cft_arn_04           Rune of Fire Warding
gen_im_cns_cft_arn_05           Rune of Lightning Warding
gen_im_cns_cft_arn_06           Rune of Nature Warding
gen_im_cns_cft_arn_07           Rune of Spirit Warding
gen_im_cns_cft_arn_08           Rune of Defense
gen_im_cns_cft_arn_09           Rune of Valiance
gen_im_cns_cft_bmb_01           Combustion Grenade
gen_im_cns_cft_bmb_02           Tar Bomb
gen_im_cns_cft_bmb_03           Mythal's Favor
gen_im_cns_cft_bmb_04           Fell Grenade
gen_im_cns_cft_pot_01           Elfroot Potion
gen_im_cns_cft_pot_02           Elixir of Purity
gen_im_cns_cft_pot_04           Restoration Potion
gen_im_cns_cft_pot_05           Life Ward Potion
gen_im_cns_cft_pot_06           Rock Armor Potion
gen_im_cns_cft_pot_07           Mighty Offense Potion
gen_im_cns_cft_pot_08           Elixir of Heroism
gen_im_cns_cft_psn_01           Debilitating Poison
gen_im_cns_cft_psn_02           Crow Venom
gen_im_cns_cft_psn_03           Deathroot Toxin
gen_im_cns_cft_psn_04           Arcane Poison
gen_im_cns_cft_psn_05           Fell Poison
gen_im_cns_cft_wrn_01           Rune of Impact
gen_im_cns_cft_wrn_02           Rune of Frost
gen_im_cns_cft_wrn_03           Rune of Fire
gen_im_cns_cft_wrn_04           Rune of Lightning
gen_im_cns_cft_wrn_05           Rune of Nature
gen_im_cns_cft_wrn_06           Rune of Spirit
gen_im_cns_cft_wrn_07           Rune of Striking
gen_im_cns_cft_wrn_08           Rune of Devastation
gen_im_cns_flu_anders_01        Spirit Essence
gen_im_cns_flu_anders_02        Armor Struts
gen_im_cns_flu_anders_03        Sigil of the Mage Underground
gen_im_cns_flu_anders_04        Lyrium Weave
gen_im_cns_flu_aveline_01       Underpadding – Guardsman Pattern
gen_im_cns_flu_aveline_02       Flex-Chain – Guardsman Pattern
gen_im_cns_flu_aveline_03       Impact Plating – Guardsman Pattern
gen_im_cns_flu_aveline_04       Deflecting Joints – Guardsman Pattern
gen_im_cns_flu_bethany_01       Heirloom Amell Protective Sigils
gen_im_cns_flu_carver_01        Fereldan Girded Plating
gen_im_cns_flu_fenris_01        Reinforced Straps
gen_im_cns_flu_fenris_02        Enchanted Resin
gen_im_cns_flu_fenris_03        Lyrium Scales
gen_im_cns_flu_fenris_04        Tevinter Spirit Symbol
gen_im_cns_flu_isabela_01       Lambswool Insoles
gen_im_cns_flu_isabela_02       Rigid Boning
gen_im_cns_flu_isabela_03       Boiled Leather Plates
gen_im_cns_flu_isabela_04       Supportive Corselet
gen_im_cns_flu_merril_01        Carved Ironwood Buttons
gen_im_cns_flu_merril_02        Samite Lining
gen_im_cns_flu_merril_03        Silver-Threaded Dalish Embroidery
gen_im_cns_flu_merril_04        Halla Horn Buckles
gen_im_cns_flu_sebastian_01     Reinforced Bracers
gen_im_cns_flu_sebastian_02     Mail Undertunic
gen_im_cns_flu_sebastian_03     Enhanced Articulation
gen_im_cns_flu_sebastian_04     Protection of the Faith
gen_im_cns_flu_varric_01        Coat Lining with Concealed Pockets
gen_im_cns_flu_varric_02        Inscribed Leather Harness
gen_im_cns_flu_varric_03        Silverite-Reinforced Buckles
gen_im_cns_flu_varric_04        Drakeskin Leg Straps
gen_im_cns_msc_backpack_01      Backpack
gen_im_cns_msc_backpack_02      Large Backpack
gen_im_cns_pot_attribute_01     Elixir of the Mortal Vessel
gen_im_cns_pot_attribute_02     Greater Elixir of the Mortal Vessel
gen_im_cns_pot_attribute_03     Arcane Elixir of the Mortal Vessel
gen_im_cns_pot_avernus          Avernus’s Experimental Draught
gen_im_cns_pot_health_01        Health Potion
gen_im_cns_pot_injury_01        Injury Kit
gen_im_cns_pot_level_01         Maker's Breath
gen_im_cns_pot_mana_01          Lyrium Potion
gen_im_cns_pot_respec_01        Maker's Sigh
gen_im_cns_pot_stamina_01       Stamina Draught
gen_im_cns_pot_technique_01     Elixir of Arcane Technique
gen_im_cns_pot_technique_02     Elixir of Physical Technique
gen_im_cns_pot_xp_01            Elixir of the Ages
gen_im_cns_tom_attribute_01     Tome of the Mortal Vessel
gen_im_cns_tom_attribute_02     Greater Tome of the Mortal Vessel
gen_im_cns_tom_attribute_03     Arcane Tome of the Mortal Vessel
gen_im_cns_tom_mag_archmage     Manual: Archmage Specialization
gen_im_cns_tom_mag_bldmage      Manual: Blood Mage Specialization
gen_im_cns_tom_mag_frcmage      Manual: Force Mage Specialization
gen_im_cns_tom_mag_sphealer     Manual: Spirit Healer Specialization
gen_im_cns_tom_rog_assassin     Manual: Assassin Specialization
gen_im_cns_tom_rog_bard         Manual: Bard Specialization
gen_im_cns_tom_rog_duelist      Manual: Duelist Specialization
gen_im_cns_tom_rog_shadow       Manual: Shadow Specialization
gen_im_cns_tom_talent_01        Tome of Technique
gen_im_cns_tom_war_berserkr     Manual: Berserker Specialization
gen_im_cns_tom_war_juggnaut     Manual: Juggernaut Specialization
gen_im_cns_tom_war_reaver       Manual: Reaver Specialization
gen_im_cns_tom_war_templar      Manual: Templar Specialization
gen_im_cns_wrn_primeval         Primeval Lyrium Rune
gen_im_cns_wrn_sandal_act1      Sandal's Special Rune
gen_im_copper                   Copper
gen_im_cutscene_dagger          Dual Weapon Default
gen_im_cut_arrow                TEMP: Cinematic Design Only
gen_im_cut_cross_bolt           TEMP: Cinematic Design Only
gen_im_cut_dagger               TEMP: Cinematic Design Only
gen_im_cut_isabella_dagger      Dagger
gen_im_delete_me_01             Splintmail Gloves
gen_im_delete_me_03             Weapon and Shield Default
gen_im_delete_me_04             Splintmail Boots
gen_im_delete_me_05             Heavy Chain Mail Gloves
gen_im_delete_me_06             Splintmail Gloves
gen_im_delete_me_07             Splintmail
gen_im_delete_me_08             Heavy Chain Mail
gen_im_delete_me_09             Splintmail Boots
gen_im_delete_me_10             Heavy Chain Mail Boots
gen_im_fla_acc_isabela_01       Rivaini Fertility Talisman
gen_im_fla_anders_01            Renegade's Coat
gen_im_fla_anders_02            Renegade's Coat
gen_im_fla_aveline_01           Modified Officers’ Issue 
gen_im_fla_aveline_02           Guardsman Plate and Chain
gen_im_fla_aveline_03           Guard-Captain's Ranked Plate
gen_im_fla_bethany_01           Hawke's Pinions
gen_im_fla_bethany_02           Bethany's Circle Mage Robes
gen_im_fla_bethany_03           Bethany's Grey Warden Robes
gen_im_fla_carver_01            Fereldan Man-at-Arms Issue
gen_im_fla_carver_02            Knight-Corporal Plate
gen_im_fla_carver_03            Plate of the Warden-Ensign
gen_im_fla_fenris_01            Grafted Spirit Hide
gen_im_fla_fenris_02            Grafted Spirit Hide
gen_im_fla_isabela_01           Threads of the Eastern Seas
gen_im_fla_isabela_02           Threads of the Eastern Seas
gen_im_fla_merril_01            Vestments of the First
gen_im_fla_merril_02            Raiments of the Dalish Pariah
gen_im_fla_sebastian_01         Vael Family Armor
gen_im_fla_varric_01            Varric's Tailored Leather Duster
gen_im_fla_varric_02            Varric's Armored Leather Duster
gen_im_flw_arc_sebastian_01     Temperance
gen_im_flw_arc_sebastian_02     Starkhaven Longbow
gen_im_flw_arc_varric_01        Bianca
gen_im_flw_arc_varric_02        Bianca
gen_im_flw_arc_varric_03        Bianca
gen_im_flw_arc_varric_04        Bianca
gen_im_flw_dua_isabela_01       Backstabber
gen_im_flw_dua_isabela_02       Heartbreaker
gen_im_flw_one_aveline_01       Chevalier's Reach
gen_im_flw_shd_aveline_01       Ser Wesley's Shield
gen_im_flw_shd_aveline_02       Shield of the Knight Herself
gen_im_flw_sta_anders_01        Freedom's Call
gen_im_flw_sta_bethany_01       Birchcore
gen_im_flw_sta_bethany_02       Staff of the New Growth
gen_im_flw_sta_bethany_03       Staff of the Blighted Heartwood
gen_im_flw_sta_merril_01        Vir Tasallan
gen_im_flw_two_carver_01        Longbar Blade
gen_im_flw_two_carver_02        Grace-Maker
gen_im_flw_two_carver_03        Seeker of the Gray
gen_im_flw_two_fenris_01        Lethendralis
gen_im_flw_two_fenris_02        Blade of Mercy
gen_im_home_clothing            Finery
gen_im_npc_arm_hum_cht_cira     Cloth Robe
gen_im_npc_arm_hum_cht_cirb     Cloth Robe
gen_im_trs_apo_junk1_01         Enchanted Locket
gen_im_trs_apo_junk1_02         Gold-Bound Tome
gen_im_trs_apo_junk1_03         Blood Totem
gen_im_trs_apo_junk1_04         Pristine Grimoire
gen_im_trs_apo_junk2_01         Tattered Sheets
gen_im_trs_apo_junk2_02         Tattered Bedroll
gen_im_trs_apo_junk2_03         Bedroll
gen_im_trs_apo_junk2_04         Silk Bedroll
gen_im_trs_apo_lgt_boo_r0       Neophyte Mage Boots
gen_im_trs_apo_lgt_boo_r1       Adept Mage Boots
gen_im_trs_apo_lgt_boo_r2       Empowered Mage Boots
gen_im_trs_apo_lgt_cht_r0       Neophyte Robes
gen_im_trs_apo_lgt_cht_r1       Adept Robes
gen_im_trs_apo_lgt_cht_r2       Empowered Robes
gen_im_trs_apo_lgt_glv_r0       Neophyte Mage Gloves
gen_im_trs_apo_lgt_glv_r1       Adept Mage Gloves
gen_im_trs_apo_lgt_glv_r2       Empowered Mage Gloves
gen_im_trs_apo_lgt_hlm_r0       Neophyte Mage Cowl
gen_im_trs_apo_lgt_hlm_r1       Adept Mage Cowl
gen_im_trs_apo_lgt_hlm_r2       Empowered Mage Cowl
gen_im_trs_apo_rng_r0           Ring of Minor Cantrips
gen_im_trs_apo_rng_r1           Ring of Transitional Power
gen_im_trs_apo_rng_r2           Ring of Greater Empowerment
gen_im_trs_apo_sta_03           Airhert's Spine
gen_im_trs_apo_sta_cld_r0       Staff of the Apprentice
gen_im_trs_apo_sta_cld_r1       Staff of the Adept
gen_im_trs_apo_sta_cld_r2       Staff of the Magister
gen_im_trs_apo_sta_ele_r0       Bound Staff
gen_im_trs_apo_sta_ele_r1       Channeled Staff
gen_im_trs_apo_sta_ele_r2       Fortified Staff
gen_im_trs_apo_sta_fir_r0       Improvised Enchanters' Staff
gen_im_trs_apo_sta_fir_r1       Conjurors' Stake
gen_im_trs_apo_sta_fir_r2       Archmage's Conduit
gen_im_trs_bks_bestiary         Bestiary of The Free Marshes
gen_im_trs_bks_champ_kirk       The Champion of Kirkwall
gen_im_trs_bks_chant            Chant of Light
gen_im_trs_bks_enchanter        Enchanters and Their Craft
gen_im_trs_bks_good_breed       Tome of Good Breeding and Etiquette
gen_im_trs_bks_orlais           Rose of Orlais
gen_im_trs_bks_risekirk         The Rise of Kirkwall
gen_im_trs_bks_trueprophet      The Search for the True Prophet
gen_im_trs_bow                  Simple Recurve
gen_im_trs_bst_claws_01         Dew Claw
gen_im_trs_bst_claws_02         Cracked Foreclaw
gen_im_trs_bst_claws_03         Rooted Foreclaw
gen_im_trs_bst_claws_04         Paired Foreclaw
gen_im_trs_bst_drg_eye_01       Dragon Vitriol
gen_im_trs_bst_drg_eye_02       Dragon Iris
gen_im_trs_bst_drg_eye_03       Whole Dragon Eye
gen_im_trs_bst_drg_eye_04       Emerald Dragon Eye
gen_im_trs_bst_drg_gland_01     Fire Gland Essence
gen_im_trs_bst_drg_gland_02     Ruptured Fire Gland
gen_im_trs_bst_drg_gland_03     Fire Gland
gen_im_trs_bst_drg_gland_04     Saturated Fire Gland
gen_im_trs_bst_drg_scale_01     Dragon Foot Scute
gen_im_trs_bst_drg_scale_02     Large Belly Scale
gen_im_trs_bst_drg_scale_03     Notched Back Scale
gen_im_trs_bst_drg_scale_04     Pristine Back Scale
gen_im_trs_bst_hunt_dag         Hunter's Dagger
gen_im_trs_bst_kidney_01        Gallstone
gen_im_trs_bst_kidney_02        Small Gallbladder
gen_im_trs_bst_kidney_03        Gallbladder
gen_im_trs_bst_kidney_04        Enlarged Gallbladder
gen_im_trs_bst_liver_01         Discolored Bile
gen_im_trs_bst_liver_02         Black Bile
gen_im_trs_bst_liver_03         Red Bile
gen_im_trs_bst_liver_04         Clear Bile
gen_im_trs_bst_pelt_01          Rough Pelt
gen_im_trs_bst_pelt_02          Off-Color Pelt
gen_im_trs_bst_pelt_03          Thick Pelt
gen_im_trs_bst_pelt_04          Exceptional Pelt
gen_im_trs_bst_spd_fang_01      Split Spider Fang
gen_im_trs_bst_spd_fang_02      Small Spider Fang
gen_im_trs_bst_spd_fang_03      Spider Fang
gen_im_trs_bst_spd_fang_04      Oversized Spider Fang
gen_im_trs_bst_spd_gland_01     Poison Gland Essence
gen_im_trs_bst_spd_gland_02     Silk Gland Essence
gen_im_trs_bst_spd_gland_03     Poison Gland
gen_im_trs_bst_spd_gland_04     Silk Gland
gen_im_trs_bst_spd_silk_01      Coarse Spider Hairs
gen_im_trs_bst_spd_silk_02      Spider Chitin
gen_im_trs_bst_spd_silk_03      Spinnerets
gen_im_trs_bst_spd_silk_04      Lustrous Spider Silk
gen_im_trs_chn_andraste_01      Bronze Andrastian Holy Symbol
gen_im_trs_chn_andraste_02      Steel Andrastian Holy Symbol
gen_im_trs_chn_andraste_03      Silver Andrastian Holy Symbol
gen_im_trs_chn_andraste_04      Golden Andrastian Holy Symbol
gen_im_trs_chn_blt_r0           Belt of the Affirmed
gen_im_trs_chn_blt_r1           Mothers' Cincture
gen_im_trs_chn_blt_r2           Blessed Goldenweave Belt
gen_im_trs_chn_dua_dag_r0       Blade of Calling
gen_im_trs_chn_dua_dag_r1       Blade of Forgiveness
gen_im_trs_chn_dua_dag_r2       Blade of Deliverance
gen_im_trs_chn_junk2_01         Vial of Holy Water
gen_im_trs_chn_junk2_02         Pressed Rose
gen_im_trs_chn_junk2_03         Silver Prayer Necklace
gen_im_trs_chn_junk2_04         Weathered Book of Chants
gen_im_trs_chn_light_doc_01     Page of the Chant of Light Doctrine
gen_im_trs_chn_light_doc_02     Tattered Chant of Light Doctrine
gen_im_trs_chn_light_doc_03     Chant of Light Doctrine
gen_im_trs_chn_light_doc_04     Pristine Chant of Light Doctrine
gen_im_trs_chn_rng_r0           Andraste's Grace
gen_im_trs_chn_rng_r1           Andraste's Wisdom
gen_im_trs_chn_rng_r2           Andraste's Sacrifice
gen_im_trs_chn_robe             Chantry Robes
gen_im_trs_chn_shd_wdn_r0       Shield of the Light
gen_im_trs_chn_shd_wdn_r1       Shield of the Flame
gen_im_trs_chn_shd_wdn_r2       Shield of the Faith
